Institute,Keywords,Project,Geographic Reach,Funding Amount,3 year savings,Summary,Category,Stage,Model,url,Unique ID
Family Service Agency of San Francisco,"Health Care Innovation Awards, HCIA, California, CA, psychosis, schizophrenia, low income, Medicare, evidence-based treatments, medication management, social workers, nurse practitioners, vocational counselors, Family Service Agency of San Francisco, CMS Region 9",Prevention and Recovery in Early Psychosis (PREP),California,"4,703,817.00","4,235,801.00","Family Service Agency of San Francisco expanded its Prevention and Recovery in Early Psychosis (PREP) to two low-income, largely Latino counties in Central and Northern California, San Joaquin (Stockton) and Monterey (Salinas). Schizophrenia is estimated to account for 2.5 to 3 percent of United States health care expenditures. Without an intervention like PREP, as many as 90 percent of the patients served would be Supplemental Security Income/Medicare recipients (up from 30 percent now) by the time they reached their 30s. Through evidence-based treatments, medication management, and care management, PREP aims to prevent the onset of full psychosis, and in cases in which full psychosis has already occurred, seeks to fully remit the disease and rehabilitate the cognitive functions it has damaged. Family Service Agency of San Francisco has trained over 20 health care providers to use their PREP intervention, while creating 19 jobs for social workers, Nurse Practitioners, vocational counselors, and peer and family aides.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/Family-Service-Agency-Of-San-Francisco.html,103
Feinstein Institute for Medical Research,"Health Care Innovation Awards, HCIA, Florida, FL, Indiana, IN, Michigan, MI, Missouri, MO, New Hampshire, NH, New Mexico, NM, New York, NY, Oregon, OR, schizophrenia, care managers, physicians, nurse practitioners, pharmacologic management, cognitive behavior therapy, web-based monitoring, home-based monitoring, hospitalizations, physician assistants, mental health, Feinstein Institute for Medical Research, CMS Region 4, CMS Region 5, CMS Region 7, CMS Region 1, CMS Region 2, CMS Region 10",Using care managers and technology to improve the care of patients with schizophrenia,"Florida, Indiana, Michigan, Missouri, New Hampshire, New Mexico, New York, Oregon","9,380,855.00","10,080,000.00","The Feinstein Institute for Medical Research received an award to develop a workforce that is capable of delivering effective treatments, using newly available technologies, to at-risk, high-cost patients with schizophrenia. The intervention will test the use of care managers, physicians, and nurse practitioners trained to use new technology as part of the treatment regime for patients recently discharged from the hospital at community treatment centers in eight states. These trained providers will educate patients and their caregivers about pharmacologic management, cognitive behavior therapy, and web-based/home-based monitoring tools for their conditions. This intervention is expected to improve patients’ quality of life and lower cost by reducing hospitalizations. Over a three-year period, the Feinstein Institute for Medical Research will retrain nurse practitioners, physician assistants, physicians, and case managers to use newly available mental health protocols and health technology resources.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/Feinstein-Institute-For-Medical-Research.html,130
The Rector and Visitors of the University of Virginia,"Health Care Innovation Awards, HCIA, Virginia, VA, cancer, evidence-based treatments, care interventions, radiation therapy, The Rector and Visitors of the University of Virginia, CMS Region 3",Proactive Palliative Care and Palliative Radiation Model,Virginia,"2,571,332.00","2,920,639.00","The Rector and the Visitors of the University of Virginia received an award to improve care for patients with advanced cancer. The program emphasizes patient reported outcomes as a key source of patient data for longitudinally tracking patient status and outcomes. This shared data system will be used for multi-disciplinary care coordination to improve quality of care, increase survival, and reduce costs mainly through prevention of emergency room visits and hospitalizations. The patient reported outcomes database will be directly integrated into the EPIC Electronic Medical Record and will alert the health care team of critical changes in patient status to allow for rapid interventions. The care model includes a weekly multi-disciplinary Supportive Care Team meeting to address management of the most critical patients requiring rapid coordination of multi-disciplinary care plans for optimal patient care. The program includes a redesign of radiation therapy workflow to allow for a rapid single-day treatment for cancer that has spread to bone with the goal of the entire process being completed in 1-2 hours and providing rapid pain relief and less treatment related toxicity than standard palliative treatments due to the targeting of the radiation. Over a three-year period, Rector and Visitors’ program will train an estimated 65 workers and create three new jobs to support this project.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/The-Rector-And-Visitors-Of-The-University-Of-Virginia.html,104
University of Tennessee Health Science Center,"Health Care Innovation Awards, HCIA, Arkansas, AR, Mississippi, MS, Tennessee, TN, medication adherence, high-risk populations, elderly, Medicare, Medicaid, hypertension, diabetes, coronary artery disease, congestive heart failure, lung disease, chronic disease management, pharmacists, nurses, primary care, hospitalizations, University of Tennessee health Science Center, CMS Region 6, CMS Region 4",Project SAFEMED,"Arkansas, Mississippi, Tennessee","2,977,865.00","3,160,844.00","The University of Tennessee Health Science Center, in partnership with Methodist LeBonheur Healthcare's Methodist North Hospital and Methodist South Hospital and community partners received an award to improve care transitions with an emphasis on medication management among high repeat utilizing patients in the northwest and southwest sections of Memphis, TN. The program will serve vulnerable adults (20-64) and seniors 65+ insured by Medicaid and/or Medicare who have multiple chronic diseases, including hypertension, diabetes, coronary artery disease, congestive heart failure, and chronic lung disease with presence of polypharmacy or high risk medications. Through multidisciplinary teams encompassing pharmacy, nursing, and social work based in outpatient centers, the program will enhance discharge planning, improve post-discharge outreach and follow-up, increase access to community based services and coordinate care across providers and settings. In addition, pharmacy technicians and licensed practical nurses will serve as outreach workers engaging patients through home visits, intense phone follow up, and group based support sessions. This approach will improve medication adherence to safe and effective medication regimens, overall chronic disease self-management, health services utilization patterns, and patient experience of care. Over a three-year period, the University of Tennessee Health Science Center's program will develop 5 new roles for direct care staff and create 11 jobs in the healthcare field.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/University-Of-Tennessee-Health-Science-Center.html,105
"St. Luke's Regional Medical Center, LTD.","Health Care Innovation Awards, HCIA, Idaho, ID, Oregon, OR, ICU, care management, rural, care coordination, nurses, information technology analysts, clinical educators, information technology project managers, medical director, operations director, St. Luke's Regional Medical Center LTD., CMS Region 10",Tele-critical care and emergency services,"Idaho, Oregon","11,762,777.00","12,567,875.00","St. Luke’s Regional Medical Center received an award for remote intensive care unit (ICU) monitoring and care management in rural southwestern and central Idaho and eastern Oregon. Critical care for patients in ICUs will be provided by physician intensivists working in teams with care providers and coordinators working on site and in a central monitoring unit. Through early identification of patients in need of specialized care, improved care coordination, and standardized clinical quality practices, the program will reduce ICU days, increase access to specialty care, and provide more appropriate and timely care for patients. Over a three-year period, St. Luke’s Regional Medical Center, Ltd’s program will train an estimated 110 workers, while creating an estimated 24.5 jobs for clinical and support specialists.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/St-Luke-Regional-Medical-Center-Ltd.html,121
Prosser Public Hospital District,"Health Care Innovation Awards, HCIA, Washington, WA, rural, home-based care, obesity, high cholesterol, diabetes, coronary disease, stroke, ER, preventive care, paramedics, case managers, nurses, Prosser Public Hospital District, CMS Region 10",Prosser Washington Community Paramedics Program,Washington,"1,470,017.00","1,855,400.00","Prosser Public Hospital District of Benton County, serving a large, rural area in Washington State, received an award for a program through which physicians can send a community paramedic (CP) to visit patients of concern. The CPs provide reinforcement of discharge instructions, disease process education, post-abdominal surgery follow-up, medication clarification and social service referrals. The area has high rates of obesity, high cholesterol, diabetes, heart attacks/coronary disease, and angina/stroke. Emergency room visits and readmissions are high and preventive care is limited, with poor follow-up care for chronic illnesses and frequent missed appointments. By expanding the role of the emergency medical services, CPs are increasing access to primary and preventive care, providing wellness interventions, decreasing emergency room utilization, and improving outcomes. Over a three-year period, Prosser Public Hospital District's program will train an estimated 10 community paramedic workers.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/Prosser-Public-Hospital-District.html,106
"Fund for Public Health in New York, INC. ","Health Care Innovation Awards Round Two, HCIA Round Two, Fund for Public Health in New York, INC., New York, NY, CMS Region 2","Project INSPIRE NYC (Innovate & Network to Stop HCV & Prevent complications via Integrating care, Responding to needs and Engaging patients & providers",New York,"9,948,459.00",,"The Fund for Public Health in New York and the New York City (NYC) Department of Health and Mental Hygiene (DOHMH) are testing a model that will identify persons with Hepatitis C viral (HCV) infection utilizing the NYC DOHMH HCV surveillance database, electronic medical and laboratory records from participating facilities, and referrals from neighborhood organizations that perform HCV testing. Eligible persons will undergo an interdisciplinary, comprehensive medical and behavioral health assessment, for substance use and social support and benefits needs. Patients' behavioral health will be assessed using the Psychosocial Readiness Evaluation and Preparation for Hepatitis C Treatment (PREP-C), to identify areas of psychosocial functioning that require attention before and after beginning HCV treatment.  HCV and related co-morbidities will be managed within an integrated, patient-centered clinical and behavioral health environment. Primary care and/or HIV providers will be supported by addiction medicine specialists, psychiatrists and hepatologists, who will be available for telemedicine-based consultation. Providers will be trained and mentored in HCV care and treatment by the institutions' hepatologists. Web-based teaching modules and weekly case management videoconferences with hepatologists and providers from all participating clinics will be used. Patient management will be supported and facilitated by care coordination, defined as health system navigation and patient support to keep medical appointments, health promotion, medication adherence assistance, and coaching for improvement of self-sufficiency skills. Comprehensive care coordination programs and integrated care have been shown to improve health outcomes and reduce hospitalization and emergency department visits.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards Round Two,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards-Round-Two/Fund-for-Public-Health-in-New-York-INC.html,153
Kitsap Mental Health Services,"Health Care Innovation Awards, HCIA, Washington, WA, mental illness, children, Medicare, Medicaid, CHIP, emotionally disturbed, preventive care, primary care, hospitalizations, Kitsap Mental Health Services, CMS Region 10","Race to health: coordination, integration, and innovations in care",Washington,"1,858,437.00","5,800,000.00","Kitsap Mental Health Services of Kitsap County, Washington received an award to coordinate and integrate care for one thousand severely mentally ill adults and 100 severely emotionally disturbed children with at least one co-morbidity almost all of them Medicaid, Medicare, and/or CHIP beneficiaries. Research shows health care for the severely mentally ill/severely emotionally disturbed population is often fragmented, ineffective, and inefficient, resulting in poor health and premature death. Through multi-disciplinary care coordination teams providing integrated behavioral health (mental health and co-occurring substance use disorder) management, tighter care coordination with primary care, and a bi-directional model supporting community-based primary care providers with psychiatric consultation, training, and brief interventions, the project is expected to improve beneficiary health and reduce avoidable emergency room visits and hospitalizations with an estimated savings of approximately $1.7 million. Over the three-year period, KMHS will train an estimated 130 health care workers, generate an estimated 11.5 new jobs, and create a transformed health care workforce cross-trained in behavioral and physical health disciplines.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/Kitsap-Mental-Health-Services.html,107
Emory University (Center for Critical Care),"Health Care Innovation Awards, HCIA, Georgia, GA, undeserved, rural health, technical support professionals, administrative support professionals, critical care, Medicare, Medicaid, nurse practitioners, physician assistants, Emory University (Center for Critical Care), CMS Region 4",Rapid Development and Deployment of Non-Physician Providers in Critical Care,Georgia,"10,748,332.00","18,400,000.00","Emory University, in partnership with Philips Company and several regional medical centers including Saint Joseph’s Health System, Northeast Georgia Medical Center, East Georgia Regional Medical Center and Southern Regional Medical Center, received an award to hire more than 40 critical care professionals, including 20 nurse practitioners (NP) and physician assistants (PA) who are training at Emory’s University Hospitals, Saint Joseph’s Hospital and Grady Memorial Hospital and deployed to undeserved and rural hospitals in Georgia. Additional training in the use of tele-ICU services for supervision of those NP and PA providers as well as for support of nurses and allied health personnel will reach an additional 400 clinical, technical and administrative support professionals who form the local hospital critical care teams. This innovative strategy will serve over ten thousand Medicare and Medicaid beneficiaries and aim to mitigate problems associated with the lack of critical care doctors in the region, improve access to quality health care, and lower costs associated with inefficient care and a lack of transport services which could save approximately $18.4 million over 3 years.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/Emory-University.html,108
South County Community Health Center,"Health Care Innovation Awards, HCIA, California, CA, diabetes, evidence-based treatment, care coordination, high-risk populations, South County Community Health Center, CMS Region 9",Ravenswood Family Health Care Innovation Project,California,"7,302,463.00","6,200,000.00","South County Community Health Center, Inc. dba: Ravenswood Family Health Center (RFHC) in partnership with Health Plan of San Mateo, San Mateo County Behavioral Health and Recovery Services, Nuestra Casa and Voices of Recovery, is receiving an award to create a health care home for over 19,000 patient visits or 6,400 patients per year over three years living in our southeast San Mateo County, California service area. The majority of patients have diabetes, asthma, serious mental illness and other chronic conditions. The project will train paraprofessional Health Coach/Panel Managers that will, in a responsive and culturally appropriate manner, support and motivate patients to follow and adhere to evidence-based care plans. These Health Coach/Panel Mangers together with a Social Worker and Nurse Care Transition Coordinators will work with the provider to reduce (deleted space) avoidable emergency room visits,  hospital admissions and readmissions, and in overcoming barriers to obtain health and social support services with estimated savings of over $6 million. Over the three-year period, the South County Community Health Center, Inc. Ravenswood Family Health Innovation program will train an estimated 60 health care workers and create an estimated 28 new jobs. These trained workers will support patient-centered medical teams that will manage a panel of patients that include identified high risk, high cost and high care utilizers.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/South-County-Community-Health-Center.html,109
Providence Portland Medical Center,"Health Care Innovation Awards, HCIA, Oregon, OR, Medicaid, Medicare, care coordination, primary care, ER, community-based, hospitalizations, Providence Portland Medical Center, CMS Region 10",Redesigning service delivery through the Tri-County Health Commons,Oregon,"17,337,093.00","32,542,913.00","The Providence Portland Medical Center, on behalf of Health Share of Oregon, received an award to launch the delivery system transformation of Oregon’s largest Medicaid Coordinated Care Organization (CCO). As a CCO, Health Share is integrating care delivery for Medicaid beneficiaries through an unprecedented level of cooperation among traditional competitors. Known as the Health Commons Project, this work aims to create an integrated patient-centered system to improve care coordination, care quality, and health outcomes among high-cost, high-acuity Medicaid patients while reducing overall health care costs. Through the implementation or expansion of five complementary care model interventions, including the hiring of new community outreach workers and patient guides and the development of a member registry, care will be coordinated more efficiently and effectively across multiple organizations. Additionally, enhanced systems for learning, collaboration, and workforce development are being created. The goal is to develop a sustainable system of care delivery across our community, which will reduce emergency department visits and avoidable hospital readmissions and improve the health of the population. Over a three-year period, this project will create an estimated 67 jobs.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/Providence-Portland-Medical-Center.html,110
Vanderbilt University Medical Center,"Health Care Innovation Awards, HCIA, Kentucky, KY, Tennessee, TN, hospitalizations, Medicare, Medicaid, evidence-based protocols, care transitions, Vanderbilt University Medical Center, CMS Region 4",Reducing hospitalizations in Medicare beneficiaries; a collaboration between acute and post-acute care,"Kentucky, Tennessee","2,449,241.00","8,700,000.00","Vanderbilt University Medical Center, in partnership with National HealthCare Corporation and two other Post-Acute Care facilities, received an award for a program designed to reduce inpatient re-hospitalization by 17% and improve patient experience for approximately 27,000 Medicare and beneficiaries dually eligible for Medicare and Medicaid in ten counties in Tennessee, including rural and underserved areas. Their project will offer improved hospital discharge planning, evidence-based interventions, and improved clinical responsiveness at post-acute facilities with estimated savings of approximately $8.7 million. Over the three-year period, Vanderbilt University Medical Center’s program will train an estimated 30 health care workers and create an estimated 4.6 new jobs. These workers will coordinate discharge planning and care transitions for patients and help integrate clinical responsiveness into post-acute care settings.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/Vanderbilt-University-Medical-Center.html,111
CHRISTUS St. Michael Health System,"Health Care Innovation Awards, HCIA, Arkansas, AR, Texas, TX, nursing homes, congestive heart failure, sepsis, Medicare, hospitals, evidence-based protocols, clinical decision support, mobile devices, readmissions, project manager, nursing support specialist, outreach, CHRISTUS St. Michael Health System, CMS Region 6",Reducing readmissions from nursing home facilities with the Integrated Nurse Training and Mobile Device Harm Reduction Program,"Arkansas, Texas","1,600,322.00","3,536,440.00","CHRISTUS St. Michael Health System, in partnership with the Community Long-Term Care Facility Partnership Group and University of the Incarnate Word, received an award to implement the Integrated Nurse Training and Mobile Device Harm Reduction Program (INTM). The INTM will train nurses to recognize early warning signs of congestive heart failure (CHF) and sepsis in Medicare beneficiaries in nursing home facilities and patients in hospitals who are vulnerable to certain preventable conditions. The project team developed an educational program that includes customized, clinical decision support mobile device training, and interactive didactic sessions. The training, in combination with computerized clinical decision support systems that guide nurses through evidence-based protocols once symptoms are detected and mobile devices loaded with clinical support system software, is anticipated to result in a 20% reduction in readmissions from long term care facilities for CHF and sepsis and fewer failure-to-rescue situations for those patients who are admitted to the hospital.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/Christus-St-Michael-Health-System.html,112
Mountain Area Health Education Center,"Health Care Innovation Awards, HCIA, North Carolina, NC, primary care, counseling, medication adherence, chronic pain, Mountain Area Health Education Center, CMS Region 4",Regional integrated multi-disciplinary approach to prevent and treat chronic pain in North Carolina,North Carolina,"1,186,045.00","2,400,000.00","Mountain Area Health Education Center (MAHEC), serving 16 counties in western North Carolina, received an award to test team-based enhanced primary care for chronic pain patients. The project aims to improve patient outcomes and quality of care, increase community involvement and evidence-based clinical care training for providers, and reduce unintentional drug overdose rates. The test’s target population consists of over 2,000 patients. Clinical services commenced at MAHEC Family Health Center in January 2013, and an additional three sites will launch after July 2013. The intervention creates multidisciplinary teams to provide enhanced primary care, using mid-level and behavioral health providers to co-manage care with physicians. To support the three year goal of adding 7.5 regional healthcare positions, sites receive funding, specialty training and onsite consultation. To reduce prescription drug overdose rates, community coalition leaders in all sixteen counties have been selected. The project’s anticipated achievements are improved patient health and pain control, decreased outpatient visits, reduced unintentional drug overdose, and additional cost reductions of approximately $2.4 million.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/Mountain-Area-Health-Education-Center.html,113
Regional Emergency Medical Services,"Health Care Innovation Awards, HCIA, Nevada, NV, rural, urban, ambulance, hospitalizations, paramedics, quality improvement coordinators, outreach coordinator, information technology specialist, project director, Regional Emergency Medical Services, CMS Region 9",REMSA Community Health Early Intervention Team (CHIT),Nevada,"9,872,988.00","10,500,000.00","The Regional Emergency Medical Services Authority’s (REMSA) Community Health Programs (CHP) are creating new care and referral pathways which ensure patients who have entered the 9-1-1 emergency medical services system with urgent low acuity medical conditions receive the safest, and most appropriate, levels of quality care. In addition, post-discharge patients with conditions such as congestive heart failure will receive in-home follow-up care. The Nurse Health Line provides 24/7 assessment, clinical education, triage and referral to health care and community services via a non-emergency nurse health line available to all Washoe County residents regardless of insurance status. Community Health Paramedics are specially trained to perform in-home delegated tasks to improve the transition of care from hospital to home, perform point of care lab tests and improve care plan adherence. The Ambulance Transport Alternatives program provides alternative pathways of care for 9-1-1 patients, including transport of patients with low acuity medical conditions to urgent care centers and clinics, transport of inebriated patients directly to the detoxification center, and transport of psychiatric patients directly to the mental health hospital. In cooperation with the community’s health care partners, these programs will safely improve patient-centered care, reduce ambulance transports, reduce emergency department visits, reduce hospital readmissions, improve patient satisfaction and reduce overall health care costs. The Regional Emergency Medical Services Authority (REMSA) of Reno, Nevada, is a non-profit provider of emergency and non-emergency paramedic ambulance services.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/Regional-Emergency-Medical-Services.html,114
Pharmacy Society of Wisconsin,"Health Care Innovation Awards, HCIA, Wisconsin, WI, pharmacist, evidence-based treatments, diabetes, chronic heart failure, asthma, elderly, medication adherence, Pharmacy Society of Wisconsin, CMS Region 5",Retooling the pharmacist’s role in improving health outcomes and reducing health care costs,Wisconsin,"4,165,191.00","20,448,864.00","The Pharmacy Society of Wisconsin received an award to better integrate community pharmacists into clinical care teams. This project, expanding the successful Wisconsin Pharmacy Quality Collaborative (WPQC), will transform the pharmacist’s role from drug dispenser to drug therapy coordinator and manager. Participating pharmacists will work collaboratively with members of the health care team to focus MTM services on patients with diabetes, heart failure, asthma, and geriatric syndromes. These patients are typically prescribed numerous medications, change locations of care, and/or are non-adherent to evidence-based therapies prescribed for them. The result of the intervention will be better medication adherence, better medication therapy management, and better health, with a decrease in adverse events and complications and more appropriate, evidence-based medication therapy. Over a three-year period, the Pharmacy Society of Wisconsin’s program will train an estimated 1,200 workers and will create an estimated 7 jobs. Regional implementation specialists will support community pharmacists across the state to successfully deliver the outcomes of the WPQC program.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/Pharmacy-Society-Of-Wisconsin.html,115
University of Kansas Hospital Authority ,"Health Care Innovation Awards Round Two, HCIA Round Two, University of Kansas Hospital Authority, Kansas, KS, CMS Region 7",Rural Clinically Integrated Network to Improve Heart Health and Stroke Survival for Rural Kansas,Kansas,"12,523,441.00",,"The University of Kansas Hospital Authority will test a model to implement the Rural Clinically Integrated Network (RCIN) to Improve Heart Health and Stroke Survival for Rural Kansas, which will form a collaborative governance structure to create a trust environment through which independent providers serving Northwest Kansas can define and refine the entire care continuum for that population. Through clinical integration, these providers - from the hometown primary care physician to the state's academic medical center - will become a team accountable for population health. The RCIN will develop ""regional hubs"" staffed by providers and health coaches serving multiple communities. The RCIN resembles another uniquely rural business entity: the agricultural service cooperative. By working through a jointly owned and operated association, independent farmers secure resources and market products more efficiently than acting alone. Similarly, RCIN members will pursue collaborative implementation of clinical interventions to improve care and lower costs. 

Initially, the RCIN will focus on patients at risk for or suffer from heart attack or stroke, including deployment of collaborative guidelines, pathways, and patient engagement strategies. RCIN will implement ST-elevation myocardial infarction and stroke regional systems of care. The RCIN will expand use of telehealth, robust health information exchange, ""big data"" analysis, and population health management, all in ways a single provider could not accomplish. ",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards Round Two,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards-Round-Two/University-of-Kansas-Hospital-Authority.html,165
Finger Lakes Health System Agency,"Health Care Innovation Awards, HCIA, New York, NY, primary care, Medicare, Medicaid, technical support, process support, adaptive support, care managers, care coordinators, community health workers, avoidable hospitalizations, readmissions, ER, practice improvement advisors, Finger Lakes Health System Agency, CMS Region 2",Transforming primary care delivery: a community partnership,New York,"26,583,892.00","48,021,083.00","Finger Lakes Health Systems Agency (FLHSA) received an award to enhance primary care in the Finger Lakes region of New York State. Focusing on primary care practices with large panels of adult Medicare and Medicaid patients, selected participants will receive a fully-funded care manager, technical and financial assistance towards patient-centered medical home certification, and inclusion in an innovative payment model developed in collaboration with local payers. The primary goal of these supports is to reduce hospital admissions, hospital readmissions, and emergency department usage. Over a three year period, the FLHSA will select sixty-five primary care practices, fund and train over seventy-five healthcare professionals, and establish reimbursement methods sustain these activities past the grant timeframe.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/Finger-Lakes-Health-System-Agency.html,126
The Methodist Hospital Research Institute,"Health Care Innovation Awards, HCIA, Texas, TX, Medicare, Medicaid, delirium, hospitalizations, care transitions, The Methodist Hospital Research Institute, CMS Region 6",Sepsis Early Recognition and Response Initiative (SERRI),Texas,"14,365,591.00","48,226,102.00","The Methodist Hospital, in partnership with the Texas Gulf Coast Sepsis Network, received an award to identify and treat sepsis before it progresses. Their program targets adult inpatients, including but not limited to Medicare and Medicaid beneficiaries in acute care hospitals, long term acute care hospitals and skilled nursing facilities in Houston, Bryan, and McAllen, Texas. Sepsis is the sixth most common reason for hospitalization and typically requires double the average length of stay. It complicates 4 out of 100 general surgery cases, has a 30 day mortality rate of 1 in 20, and leads to complications such as renal failure and cognitive decline. Through improved training, evidence-based and systematic screening for sepsis, and more timely treatment, Methodist Hospital and its partners will prevent progression of the disease, resulting in reduced organ failure rates, reduced mortality, reduced length of stay, improved patient outcomes, and lower cost. Over a three-year period, The Methodist Hospital's program will train an estimated 3,000 bedside nurses in sepsis screening and early recognition of the often subtle signs and symptoms of early sepsis. Additionally, an estimated 200 second level responders will be trained in screening, recognition and early goal directed therapy for sepsis.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/SERRI.html,117
Welvie LLC,"Health Care Innovation Awards, HCIA, Ohio, OH, counseling, surgery, Medicare, Medicaid, project director, medical director, nurses, Welvie LLC, CMS Region 5",Shared decision making for preference-sensitive surgery,Ohio,"6,767,008.00","20,349,081.00","Welvie, LLC, is teaming with Anthem Blue Cross and Blue Shield in Ohio to enable patients to make better-informed decisions about preference-sensitive surgery. A significant amount of elective surgery occurs because patients do not fully understand their treatment options, resulting in avoidable patient harm, patient dissatisfaction with care, and higher costs. Through surgery decision-making support, both online and offline, Welvie’s approach enhances consumer experiences in relation to preference-sensitive surgeries, increases surgery literacy, improves surgical outcomes,  and reduces the incidence of surgeries where known risks outweigh potential benefits. The program serves traditional Medicare beneficiaries, as well as certain Medicare Advantage PPO enrollees in Ohio. Over a three-year period, Welvie's program will train an estimated 11 workers and will create an estimated 14.82 jobs. The new workforce includes a project director, a medical director, nurse care managers, an implementation specialist, a technology specialist, a reporting analyst, an analytics and provider development team leader, a communication specialist, a training and peer counseling development team leader, a quality assurance and compliance specialist, a finance manager  and customer service representatives. ",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/Welvie-LLC.html,118
Upper San Juan Service District,"Health Care Innovation Awards, HCIA, Colorado, CO, rural, telemedicine, stroke, home-based care, paramedics, cardiovascular disease, Upper San Juan Service District, CMS Region 8",Southwest Colorado cardiac and stroke care,Colorado,"1,724,581.00","8,100,000.00","The Upper San Juan Health Service District is improving care for cardiovascular disease and risk through a multifaceted approach in order to reduce costs and to improve the quality of care in rural and remote areas of southwestern Colorado.  The care delivery model will offer cardiovascular early detection and wellness programs, implement a telemedicine acute stroke care program, use telemedicine and remote diagnostics for cardiologist consultations, and upgrade and retrain its Emergency Medical Services Division staff to manage urgent care transports and in-home follow-up patient care for patients in medically underserved areas in Southwest Colorado. A cardiovascular patient navigator integrates care through the continuum and assists in removing barriers, resulting in better care through all phases of the intervention. The program will provide access to cardiologists and neurologists and is expected to reduce cardiovascular risk, improve patient outcomes, create healthier communities, and reduce health care costs with estimated savings of approximately $8.1 million.  Over the three-year period, the Upper San Juan Health Service District’s program will train an estimated 25 paramedics and telehealth clinicians and create 13 new jobs. These workers will provide a new type of clinical team that will improve care outcomes for rural cardiovascular patients.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/Upper-San-Juan-Health-Service-District.html,119
